id,title,popularity,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,foreign,history,horror,music,mystery,romance,sciencefiction,thriller,tvmovie,war,western
211672,Minions,547.488298,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
297762,Wonder Woman,294.337037,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
321612,Beauty and the Beast,287.253654,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
339403,Baby Driver,228.032744,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177572,Big Hero 6,213.849907,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
293660,Deadpool,187.860492,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283995,Guardians of the Galaxy Vol. 2,185.330992,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19995,Avatar,185.070892,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
245891,John Wick,183.870374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
210577,Gone Girl,154.801009,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
131631,The Hunger Games: Mockingjay - Part 1,147.098006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
281338,War for the Planet of the Apes,146.161786,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
271110,Captain America: Civil War,145.882135,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
680,Pulp Fiction,140.950236,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
166426,Pirates of the Caribbean: Dead Men Tell No Tales,133.82782,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
155,The Dark Knight,123.167259,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
78,Blade Runner,96.272374,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
24428,The Avengers,89.887648,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
268531,Captain Underpants: The First Epic Movie,88.561239,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
339988,The Circle,88.439243,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
316154,The Bad Batch,78.8072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
198663,The Maze Runner,76.93789,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
119450,Dawn of the Planet of the Apes,75.385211,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
126889,Alien: Covenant,72.884078,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
315837,Ghost in the Shell,68.726676,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
348893,Boyka: Undisputed IV,67.955052,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
244786,Whiplash,64.29999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
550,Fight Club,63.869599,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
406990,What Happened to Monday,60.581223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
440597,Wish Upon,59.578823,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
263115,Logan,54.581997,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
118340,Guardians of the Galaxy,53.291601,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
403119,47 Meters Down,52.854103,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
278,The Shawshank Redemption,51.645403,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
360249,The Last King,50.949523,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
353491,The Dark Tower,50.903593,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
324552,John Wick: Chapter 2,49.247505,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
337339,The Fate of the Furious,48.573287,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,Forrest Gump,48.307194,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22,Pirates of the Caribbean: The Curse of the Black Pearl,47.326665,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
460846,Security,47.114366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258489,The Legend of Tarzan,45.38298,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274857,King Arthur: Legend of the Sword,44.251369,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
284052,Doctor Strange,43.847654,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
297761,Suicide Squad,42.965027,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
11,Star Wars,42.149697,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
214756,Ted 2,42.061481,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,Schindler's List,41.725123,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
61791,Rise of the Planet of the Apes,41.613762,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
294254,Maze Runner: The Scorch Trials,41.225769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,The Godfather,41.109264,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
259316,Fantastic Beasts and Where to Find Them,41.051421,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
129,Spirited Away,41.048867,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
395834,Wind River,40.796775,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
291805,Now You See Me 2,39.540653,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
637,Life Is Beautiful,39.39497,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
335988,Transformers: The Last Knight,39.186819,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
397837,Before I Fall,38.995136,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
671,Harry Potter and the Philosopher's Stone,38.187238,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
417870,Girls Trip,37.964872,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269795,2:22,37.484577,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
99861,Avengers: Age of Ultron,37.37942,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
419430,Get Out,36.894806,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
539,Psycho,36.826309,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
228150,Fury,36.713807,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
324852,Despicable Me 3,36.631519,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
240,The Godfather: Part II,36.629307,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
330459,Rogue One: A Star Wars Story,36.567575,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
240832,Lucy,36.447603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
395992,Life,36.263803,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
283366,Miss Peregrine's Home for Peculiar Children,36.262655,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
399019,The Beguiled,36.26051,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
415214,Operation Mekong,35.972581,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339846,Baywatch,35.637691,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,One Flew Over the Cuckoo's Nest,35.529554,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76338,Thor: The Dark World,34.905447,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
378064,A Silent Voice,34.852055,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
372058,Your Name.,34.461252,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
19404,Dilwale Dulhania Le Jayenge,34.457024,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
296096,Me Before You,34.34759,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15206,The Mother of Tears,34.145916,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24021,The Twilight Saga: Eclipse,34.047399,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
68726,Pacific Rim,33.949359,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
282035,The Mummy,33.704935,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
378236,The Emoji Movie,33.694599,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
437031,Rescue Under Fire,33.536359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312221,Creed,33.449723,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
603,The Matrix,33.366332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
216015,Fifty Shades of Grey,33.068431,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
135397,Jurassic World,32.790475,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
157336,Interstellar,32.213481,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
311,Once Upon a Time in America,32.182851,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,The Lord of the Rings: The Fellowship of the Ring,32.070725,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137113,Edge of Tomorrow,31.982986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
397243,The Autopsy of Jane Doe,31.772396,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
122917,The Hobbit: The Battle of the Five Armies,31.718977,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140607,Star Wars: The Force Awakens,31.626013,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
205596,The Imitation Game,31.59594,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
209112,Batman v Superman: Dawn of Justice,31.435879,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
285,Pirates of the Caribbean: At World's End,31.363664,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
195590,Collide,31.314013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8966,Twilight,31.282029,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1930,The Amazing Spider-Man,31.102267,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
374720,Dunkirk,30.938854,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
329865,Arrival,30.83786,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
76203,12 Years a Slave,30.316249,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
198184,Chappie,30.206365,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87101,Terminator Genisys,30.188198,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
345914,The House,30.146847,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18239,The Twilight Saga: New Moon,30.121292,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
672,Harry Potter and the Chamber of Secrets,29.741452,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
58,Pirates of the Caribbean: Dead Man's Chest,29.455314,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
293167,Kong: Skull Island,29.429112,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
